Date,ContractCode,Item,TradingVolume(Long),TradingValue(Long)(Thousands),TradingVolume(Short),TradingValue(Short)(Thousands),TradingVolume(Net),TradingValue(Net)(Thousands),OpenInterest(Long),ContractValueofOpenInterest(Long)(Thousands),OpenInterest(Short),ContractValueofOpenInterest(Short)(Thousands),OpenInterest(Net),ContractValueofOpenInterest(Net)(Thousands),download_timestamp,process_timestamp
20260713,臺灣永續期貨,自營商,20,50484,20,50484,0,0,88,220790,88,220790,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,臺灣生技期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,臺灣生技期貨,自營商,0,0,0,0,0,0,0,0,5,1085,-5,-1085,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,臺股期貨,外資及陸資,115858,1062738070,116287,1069330042,-429,-6591972,10564,96449940,91630,838870243,-81066,-742420303,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,臺股期貨,投信,38464,354122113,38359,350384134,105,3737979,77830,712836885,6036,55104188,71794,657732697,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,臺股期貨,自營商,10859,99670218,11802,108494241,-943,-8824023,7010,64181193,5740,52643090,1270,11538103,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,航運期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,航運期貨,自營商,0,0,0,0,0,0,6,1115,7,1301,-1,-186,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,英國富時100期貨,外資及陸資,11,5760,111,58043,-100,-52284,0,0,68,35659,-68,-35659,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,英國富時100期貨,自營商,3,1573,6,3141,-3,-1568,128,67123,7,3699,121,63424,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,金融期貨,外資及陸資,402,1261771,378,1185900,24,75871,130,406966,262,820214,-132,-413248,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,金融期貨,投信,0,0,0,0,0,0,29,90792,0,0,29,90792,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,金融期貨,自營商,64,201107,118,369940,-54,-168834,53,165931,127,397572,-74,-231641,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,電子期貨,外資及陸資,483,5680009,471,5549287,12,130721,30,352086,298,3496223,-268,-3144137,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,電子期貨,投信,63,745901,56,656825,7,89076,248,2907000,0,0,248,2907000,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,電子期貨,自營商,191,2247616,197,2326692,-6,-79076,23,269475,158,1853862,-135,-1584387,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,非金電期貨,外資及陸資,25,3989,59,9395,-34,-5406,194,30939,41,6538,153,24401,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,非金電期貨,自營商,234,37293,128,20399,106,16894,729,116257,587,93613,142,22644,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260714,ETF期貨,外資及陸資,10557,7831511,10891,8142050,-334,-310538,16329,13983504,4563,3073796,11766,10909708,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,ETF期貨,投信,2568,1781004,2568,1772471,0,8533,4568,3862998,50,20365,4518,3842633,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,ETF期貨,自營商,16056,6853808,18825,7189047,-2769,-335239,17990,6001008,48720,25005439,-30730,-19004431,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,半導體30期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,半導體30期貨,自營商,19,14931,18,14160,1,771,48,37865,68,53452,-20,-15587,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
